SeqID,CardID,CardName
1,119,Dreepy
2,119,Dreepy
3,119,Dreepy
4,119,Dreepy
5,120,Drakloak
6,120,Drakloak
7,120,Drakloak
8,120,Drakloak
9,121,Dragapult ex
10,121,Dragapult ex
11,121,Dragapult ex
12,131,Duskull
13,131,Duskull
14,132,Dusclops
15,133,Dusknoir
16,133,Dusknoir
17,140,Fezandipiti ex
18,44,Bloodmoon Ursaluna ex
19,1086,Buddy-Buddy Poffin
20,1086,Buddy-Buddy Poffin
21,1086,Buddy-Buddy Poffin
22,1086,Buddy-Buddy Poffin
23,1121,Ultra Ball
24,1121,Ultra Ball
25,1121,Ultra Ball
26,1121,Ultra Ball
27,1079,Rare Candy
28,1079,Rare Candy
29,1079,Rare Candy
30,1102,Dusk Ball
31,1102,Dusk Ball
32,1102,Dusk Ball
33,1124,Pokemon Catcher
34,1124,Pokemon Catcher
35,1097,Night Stretcher
36,1097,Night Stretcher
37,1097,Night Stretcher
38,1110,Max Rod
39,1152,Poke Pad
40,1206,Larry's Skill
41,1206,Larry's Skill
42,1206,Larry's Skill
43,1206,Larry's Skill
44,1227,Lillie's Determination
45,1227,Lillie's Determination
46,1227,Lillie's Determination
47,1182,Boss's Orders
48,1182,Boss's Orders
49,1182,Boss's Orders
50,1239,Naveen
51,1267,Lumiose City
52,1267,Lumiose City
53,5,Psychic Energy
54,5,Psychic Energy
55,5,Psychic Energy
56,5,Psychic Energy
57,2,Fire Energy
58,2,Fire Energy
59,2,Fire Energy
60,1157,Rescue Board
